STT,T1,T1_clean,phanlopt1,L1,H1,S1,V1,X1,D1,N1,T2,L2,H2,S2,V2,X2,D2,N2,T3,L3,H3,S3,V3,X3,D3,N3,T4,L4,H4,S4,V4,X4,D4,N4,T5,L5,H5,S5,V5,X5,D5,N5,T6,L6,H6,S6,V6,X6,D6,N6,GT,DT,KV,DH1,DH2,DH3,KT,TBM1,TBM2,TBM3,XL1,XL2,XL3,US_TBM1,US_TBM2,US_TBM3,KQXT,MEDIAN,1,2,3,MEDIAN,1,2,3,MEDIAN,1,2,3
9,6.5,6.5,,6.3,7.6,6,5.5,7.1,6.3,5,7.3,6.8,7.3,6.5,6.4,7.9,7.6,3.7,6.4,6.7,6.7,7.3,6.2,6.1,8.2,5.7,8.1,6,6.3,7.8,7.2,7.6,8.5,5.7,7.7,7.5,8.8,6.5,5.6,5.6,7.1,6.7,7.7,8.7,8.9,7.5,6,9.1,7.9,6.1,F,0,1,3.5,3.5,6.75,D1,6.23,6.72,7.56,TB,K,K,2.492,2.688,3.024,0,3.625,3,3.75,4.875,,,,,,,,
62,7.2,7.2,,5.5,6.5,6.9,8,7.2,6.8,4.8,8.4,6,6.6,6.6,8.2,7.2,7.6,5.1,7.3,6.6,5.2,7.1,7.7,9.2,7.5,4.7,6.5,6.1,6.2,7.1,7.5,8.7,8.6,4.9,7.9,7.5,6.7,5.9,7.2,8,6.6,5.5,8.9,8.3,6.8,6.5,7.3,8.7,7.8,5.9,F,0,1,3.5,3.5,4.25,A,6.81,7.23,7.64,K,K,K,2.724,2.892,3.056,0,3.25,2.25,3.25,4.25,,,,,,,,
53,5.3,5.3,,7,7,7.3,6.7,8.4,6.6,7.8,8,7.2,6.5,7,6.9,8,7.9,7.1,6.8,7.9,6.9,7.7,5.8,8.6,6.8,7.2,6.6,7,7.3,7.4,6.3,7.8,6.7,6.9,7.4,6.7,6.5,5.9,7,6.5,6.9,7.2,5.9,6.9,5.7,5.5,6.9,5.3,7,5.9,F,0,2NT,3.75,3.5,4.5,D1,6.81,7.35,6.19,K,K,TB,2.724,2.94,2.476,0,3.625,3,3.75,4.875,,,,,,,,
81,8.2,8.2,,6.5,5.1,6.1,6.6,8.7,7.1,6.8,9.2,6.9,5.9,7.3,6.2,8.5,6.7,6.9,9.3,6.8,6.2,6.9,6.3,6.6,7.5,5.7,8.1,7,6,6.1,7.1,7.5,7.6,6.8,8.7,7,7.3,5.9,6.7,4.9,5,5,9.3,7.1,6.6,8.1,7.7,6.6,7.3,5.3,F,0,2NT,4.5,3.5,4.75,A,6.99,7.3,7.5,K,K,K,2.796,2.92,3,0,3.5,2.25,3.25,4.25,,,,,,,,
23,5,5,,4.5,5.3,6.8,4.8,5.5,5.5,5.5,5.5,5.5,5.7,8,5.4,6.3,6.3,4.7,2.3,7.2,4.5,5.3,6.9,8,5.8,6.1,4.1,7.3,4.9,8.5,7,8.3,7.6,5.3,3.4,6.2,5.7,7.3,6,4.4,6.1,6.7,4.1,7,5.8,7.2,6.2,5.3,6.4,6.1,F,0,2,5,3.5,6,C,5.27,5.83,5.84,TB,TB,TB,2.108,2.332,2.336,0,3.75,5.0625,5.25,6.375,,,,,,,,
31,7.6,7.6,,7.2,5.4,5.6,5.6,6.7,6.7,4,7.7,6.6,5.8,6.9,6.4,7.1,5.4,5.7,7.5,5.7,4.4,7.7,5.8,8,8.4,5.4,5.5,5.5,5.5,5.6,6.5,7,6.9,5.7,6.5,5.4,5.4,5.8,7.5,7.1,7.5,5.7,6.5,7.5,6.8,6.7,6.4,7.8,8.4,6.2,F,0,1,5,3.5,5.5,D1,6.2,6.57,6.92,TB,K,K,2.48,2.628,2.768,0,3.75,3,3.75,4.875,,,,,,,,
75,4.2,4.2,,5.6,5,8.4,6.3,8.2,6.9,3.9,5.5,6.8,7.7,6.9,6.8,8,6.4,5.1,5.1,6.3,6.1,7.8,6.1,6.4,6.9,4.4,6.4,8.1,7.8,8,6.2,8.1,8.3,5.5,8,6.4,6.1,6.2,6,6.3,5.9,5.5,8.5,6.3,5.7,7.2,7.1,6.9,7.3,5.5,F,0,1,5.25,3.5,4.5,A,5.9,6.55,7.01,TB,K,K,2.36,2.62,2.804,0,3.25,2.25,3.25,4.25,,,,,,,,
43,7,7,,7.4,7.5,8.3,8.7,8,8.8,7,7.2,6.7,7.6,9.3,8.6,8,9.4,6.9,7,6,5.3,7.4,8,9,8.3,7,6.5,5.3,6.3,8.4,7.5,8.1,7.6,6.3,4,7.3,7.2,7.2,6.9,5.9,8,7.1,5.5,6.9,7.5,8.3,8,8.7,7.2,6.6,F,0,1,5.75,3.5,4.25,D1,7.84,7.95,7.22,K,K,K,3.136,3.18,2.888,0,3.75,3,3.75,4.875,,,,,,,,
55,5.3,5.3,,5.7,5.4,4.6,4.4,6.6,4.7,5.3,5.1,4.9,3.4,5.7,5.4,6.4,7.3,5.5,6.4,3.6,4,6.6,5.3,7,6,4.7,5.6,6,3.6,6.4,6.3,6.6,5.1,5.2,6.5,5.4,6.1,4.6,5.7,6.9,6.3,4.9,6.5,5.7,6,5.7,7.5,7.8,6,6.7,F,0,2,4.5,3.75,4.5,D1,5.17,5.42,6.59,TB,TB,K,2.068,2.168,2.636,0,3.875,3,3.75,4.875,,,,,,,,
41,5.3,5.3,,6.3,8.4,7.3,5.8,8.5,7.6,7.8,7.5,7.8,7.5,8.3,5.3,8,8,8,7.8,7.8,7.3,7.4,6,7.9,7.6,6.7,8.5,6.7,6.8,8.1,6.1,8.2,8.3,6.5,6.8,7.5,6.9,6.4,6.1,4.7,7.3,6.6,7.5,8.6,7.9,7.1,6.3,5.3,8.5,6.6,F,0,2,5,3.75,5.75,D1,6.81,7.32,7.16,K,K,K,2.724,2.928,2.864,0,3.5,3,3.75,4.875,,,,,,,,
